name,body_length,body_mass,leg_length,leg_mass,fitness
spider_0,4,1.8055076747533434,0.2184390882796995,0.7781955320018374,0.05667181655718195
spider_1,3,1.8604523908271582,0.1478721167355488,0.8987917606856088,0.09682929665281143
spider_2,2,1.0600015371098062,0.2015685542165686,0.5569030669757373,0.0070192589106719775
spider_3,5,0.926120020344688,0.23732250016678214,0.9240670245653466,0.08009186534099132
spider_4,3,1.980926299874665,0.10147430668282192,0.7290238087993295,0.05616919952812218
spider_5,3,0.9069163333506218,0.15286586029088028,0.9534888900295312,0.012320598470909844
spider_6,3,1.8626210516222867,0.1174275581986163,0.7312579079372673,0.020289837036934107
spider_7,1,1.5257732234850447,0.24106729717906983,0.9396786465599378,-1.6943836010879054e-06
spider_8,1,1.674788019230383,0.10487459914978377,0.7357517897265804,-1.6185425636378408e-06
spider_9,4,1.7593304340079752,0.1491420077227405,0.6701420811165675,0.004585270080675423
